name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bay area Emeryville California,2005-04-13T00:00:00,49.4,45.3,39.4,68.31,0,0,,0,0,,10,302,1019.2,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T01:00:00,49.3,44.6,38.7,66.95,0,0,,0,0,,11.5,301,1019.4,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T02:00:00,48.6,43,37.3,64.82,0,0,,0,0,,14.3,305,1019.4,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T03:00:00,48.6,44.6,38.7,68.41,0,0,,0,0,,9.3,320,1019.5,45.3,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T04:00:00,47.4,42.4,37.8,69.33,0,0,,0,0,,11.1,311,1019.8,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T05:00:00,46.7,42.7,38.2,72.04,0,0,,0,0,,8.1,312,1019.9,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T06:00:00,46.1,42.1,37.4,71.45,0,0,,0,0,,7.8,306,1020.2,40.7,9.9,,,,,Partially cloudy,partly-cloudy-night,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T07:00:00,46.5,42.7,36.7,68.57,0,0,,0,0,,7.6,328,1021,30,9.9,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T08:00:00,49.4,45.4,37.4,63.2,0,0,,0,0,,9.4,316,1021.9,27.2,9.9,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
Bay area Emeryville California,2005-04-13T09:00:00,50.9,50.9,35.9,56.25,0,0,,0,0,,10.7,318,1022.6,20.2,9.9,,,,,Partially cloudy,partly-cloudy-day,"72493023230,72495593227,72494023234"
