name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T00:00:00,63.3,63.3,57.8,82.41,0,0,,0,0,,6.7,160,1011.2,100,6.6,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T01:00:00,63.3,63.3,57.9,82.76,0,0,,0,0,,5.7,166,1011.2,100,6.3,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T02:00:00,63,63,58.9,86.62,0,0,,0,0,,5.2,136,1010.8,100,7.1,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T03:00:00,62.2,62.2,59.4,90.71,0,0,,0,0,,2.5,185,1010.5,100,4.1,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T04:00:00,62.3,62.3,59,89.1,0,0,,0,0,,2.1,158,1010.4,100,4.8,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T05:00:00,62.3,62.3,58.4,87.16,0,0,,0,0,,3.2,172,1010.4,100,5.7,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T06:00:00,62.9,62.9,57.8,83.54,0,0,,0,0,,3.1,160,1010.8,100,7.1,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T07:00:00,63.4,63.4,57.9,82.48,0,0,,0,0,,4.7,174,1011.5,100,4.4,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T08:00:00,63.3,63.3,58.8,85.27,0,0,,0,0,,2.9,166,1012.1,100,4.2,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T09:00:00,64,64,58.2,81.47,0,0,,0,0,,3.1,227,1012.6,100,4.3,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T10:00:00,64.7,64.7,58.2,79.49,0,0,,0,0,,1.9,170,1012.7,100,4.8,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T11:00:00,65.9,65.9,58.2,76.36,0,0,,0,0,,2.7,200,1013.1,100,5.1,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T12:00:00,68.2,68.2,58.8,71.97,0,0,,0,0,,3.2,270,1013,98.9,5.7,,,,,Overcast,cloudy,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T13:00:00,70.6,70.6,58.9,66.52,0,0,,0,0,,3.6,215,1012.7,68.8,5.6,,,,,Partially cloudy,partly-cloudy-day,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T14:00:00,74.6,74.6,59.1,58.53,0,0,,0,0,,8.3,170,1012.1,3.2,6.1,,,,,Clear,clear-day,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T15:00:00,75.4,75.4,58.7,56.14,0,0,,0,0,,8.1,180,1011.9,3.2,8.7,,,,,Clear,clear-day,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T16:00:00,74.3,74.3,58.7,58.24,0,0,,0,0,,10.4,216,1011.7,5.3,9.2,,,,,Clear,clear-day,"72295023174,72288623130,72288023152,72287493134"
"Hollywood Freeway, in Los Angeles, CA",2005-06-15T17:00:00,72.9,72.9,58.7,61.12,0,0,,0,0,,10,219,1011.4,9.6,9.3,,,,,Clear,clear-day,"72295023174,72288623130,72288023152,72287493134"
